Registro temporal para frecuencia de muestreo cada 12 Hrs min, Temperatura_Celsius,Humedad_relativa
2023-05-15 15:32:00,23.6,53.7
2023-05-16 03:32:00,25.8,56.8
2023-05-16 15:32:00,25.9,59.9
2023-05-17 03:32:00,29.1,52.7
2023-05-17 15:32:00,26.6,53.2
2023-05-18 03:32:00,31.6,51
2023-05-18 15:32:00,27.1,50
2023-05-19 03:32:00,27.6,50.6
2023-05-19 15:32:00,26.1,54.7
2023-05-20 03:32:00,28.6,55.2
2023-05-20 15:32:00,27.5,62.8
2023-05-21 03:32:00,23.1,65
2023-05-21 15:32:00,23.6,67.8
2023-05-22 03:32:00,26.2,63.9
2023-05-22 15:32:00,24.6,67.9
2023-05-23 03:32:00,28.2,64.1
2023-05-23 15:32:00,27.3,66.6
2023-05-24 03:32:00,28.9,60.7
2023-05-24 15:32:00,27.2,64.1
2023-05-25 03:32:00,27.6,61.3
2023-05-25 15:32:00,27.3,68.1
2023-05-26 03:32:00,27.7,59.7
2023-05-26 15:32:00,27.8,64.5
2023-05-27 03:32:00,28.2,56.7
2023-05-27 15:32:00,28.1,62.7
2023-05-28 03:32:00,25.5,61.5
2023-05-28 15:32:00,28.3,66
2023-05-29 03:32:00,22.1,62.9
2023-05-29 15:32:00,28,66.4
2023-05-30 03:32:00,24,62.4
2023-05-30 15:32:00,30.9,64
2023-05-31 03:32:00,25.5,58.1
2023-05-31 15:32:00,30.5,61.5
2023-06-01 03:32:00,26.7,60.3
2023-06-01 15:32:00,27.3,61.8
2023-06-02 03:32:00,22.5,48.8
2023-06-02 15:32:00,24.4,47.4
2023-06-03 03:32:00,21.8,42.1
2023-06-03 15:32:00,28.6,64.8
2023-06-04 03:32:00,21.7,48.3
2023-06-04 15:32:00,27.9,63.3
2023-06-05 03:32:00,22.2,36.1
2023-06-05 15:32:00,28,60.9
2023-06-06 03:32:00,22.5,35
2023-06-06 15:32:00,28.4,59.2
2023-06-07 03:32:00,24.1,49.9
2023-06-07 15:32:00,29.9,60.8
2023-06-08 03:32:00,22.5,33.2
2023-06-08 15:32:00,24.5,39.1
2023-06-09 03:32:00,27.4,68.8
2023-06-09 15:32:00,27.6,73.7
2023-06-10 03:32:00,29.5,60
2023-06-10 15:32:00,28.8,73.9
2023-06-11 03:32:00,30.1,67.9
2023-06-11 15:32:00,29.2,71.4
2023-06-12 03:32:00,30.5,68.5
2023-06-12 15:32:00,29.6,70.8
2023-06-13 03:32:00,26.3,40.5
2023-06-13 15:32:00,28.3,69.5
2023-06-14 03:32:00,30.2,57
2023-06-14 15:32:00,30,64
2023-06-15 03:32:00,31.8,57.1
2023-06-15 15:32:00,31.4,62.4
2023-06-16 03:32:00,30.9,64.8
2023-06-16 15:32:00,31.1,62.3
2023-06-17 03:32:00,30.7,59.8
2023-06-17 15:32:00,27.4,33.1
2023-06-18 03:32:00,29.6,30
2023-06-18 15:32:00,28.2,28.5
2023-06-19 03:32:00,28,21.6
2023-06-19 15:32:00,30.3,23.5
2023-06-20 03:32:00,22.9,30.8
2023-06-20 15:32:00,27.8,27.2
2023-06-21 03:32:00,21.1,36.5
2023-06-21 15:32:00,36.6,22.4
2023-06-22 03:32:00,34.2,48.4
2023-06-22 15:32:00,32.3,47.3
2023-06-23 03:32:00,32.3,56
2023-06-23 15:32:00,26.2,37
2023-06-24 03:32:00,31.9,51
2023-06-24 15:32:00,28.8,38.1
2023-06-25 03:32:00,31.2,50.7
2023-06-25 15:32:00,28.7,44.7
2023-06-26 03:32:00,30.6,52.1
2023-06-26 15:32:00,26.1,37.3
2023-06-27 03:32:00,31,50.3
2023-06-27 15:32:00,30.2,49.4
2023-06-28 03:32:00,30.9,49.4
2023-06-28 15:32:00,29.3,46.3
2023-06-29 03:32:00,30.7,54
2023-06-29 15:32:00,25.9,43.5
2023-06-30 03:32:00,23.6,38.7
2023-06-30 15:32:00,24.2,44.1
2023-07-01 03:32:00,23.7,41.6
2023-07-01 15:32:00,28.2,64.9
2023-07-02 03:32:00,28.9,58.9
2023-07-02 15:32:00,27.4,55.1
2023-07-03 03:32:00,28.7,71.6
2023-07-03 15:32:00,27.6,61
2023-07-04 03:32:00,28,65.6
2023-07-04 15:32:00,28.6,75.3
2023-07-05 03:32:00,28.8,71.3
2023-07-05 15:32:00,26.4,45.8
2023-07-06 03:32:00,29.9,67.6
2023-07-06 15:32:00,26.7,44.6
2023-07-07 03:32:00,27.8,70
2023-07-07 15:32:00,25.1,45.1
2023-07-08 03:32:00,27.9,71.9
2023-07-08 15:32:00,25.3,45.3
2023-07-09 03:32:00,28,69.2
2023-07-09 15:32:00,25.2,42
2023-07-10 03:32:00,28.7,69.8
2023-07-10 15:32:00,25.2,44.9
2023-07-11 03:32:00,29.5,68.9
2023-07-11 15:32:00,26.2,43.1
2023-07-12 03:32:00,29.9,64
2023-07-12 15:32:00,30.4,58.1
2023-07-13 03:32:00,31,60.5
2023-07-13 15:32:00,29.5,53.8
2023-07-14 03:32:00,30.2,58.6
2023-07-14 15:32:00,27,41.5
2023-07-15 03:32:00,30.3,55.3
2023-07-15 15:32:00,29.5,51.8
2023-07-16 03:32:00,29.7,62.4
2023-07-16 15:32:00,29.5,61.5
2023-07-17 03:32:00,26.4,31.9
2023-07-17 15:32:00,25.9,44.7
2023-07-18 03:32:00,25.9,34.2
2023-07-18 15:32:00,23.9,40.8
2023-07-19 03:32:00,26.7,37.2
2023-07-19 15:32:00,23.8,44.4
2023-07-20 03:32:00,28,49.2
2023-07-20 15:32:00,26.4,49.3
2023-07-21 03:32:00,25.3,37
2023-07-21 15:32:00,26.4,50.3
2023-07-22 03:32:00,27.9,48.7
2023-07-22 15:32:00,29.5,59
2023-07-23 03:32:00,28.1,46.3
2023-07-23 15:32:00,28.2,40.1
2023-07-24 03:32:00,26.9,36.6
2023-07-24 15:32:00,25.2,38.7
2023-07-25 03:32:00,24.8,38.1
2023-07-25 15:32:00,25.1,42.2
2023-07-26 03:32:00,28.5,55.9
2023-07-26 15:32:00,27,38.4
2023-07-27 03:32:00,29.8,56.8
2023-07-27 15:32:00,26.6,35.6
2023-07-28 03:32:00,30.1,46.5
2023-07-28 15:32:00,26,34.8
2023-07-29 03:32:00,28.1,41.9
2023-07-29 15:32:00,28.2,47.4
2023-07-30 03:32:00,30.2,54.1
2023-07-30 15:32:00,27.8,37.6
2023-07-31 03:32:00,31,51.9
2023-07-31 15:32:00,27.5,34.8
2023-08-01 03:32:00,30.5,51.5
2023-08-01 15:32:00,27.3,34.8
2023-08-02 03:32:00,30.8,54.8
2023-08-02 15:32:00,27,33.8
2023-08-03 03:32:00,30.2,46.9
2023-08-03 15:32:00,28.5,42.1
2023-08-04 03:32:00,29.6,48.7
2023-08-04 15:32:00,27.6,34.7
2023-08-05 03:32:00,28.5,36
2023-08-05 15:32:00,30.2,51.8
2023-08-06 03:32:00,30.8,52.8
2023-08-06 15:32:00,25.3,36.6
2023-08-07 03:32:00,27.5,35.6
2023-08-07 15:32:00,25.3,36.3
2023-08-08 03:32:00,25.6,34.7
2023-08-08 15:32:00,24.5,36.1
2023-08-09 03:32:00,25,35.8
2023-08-09 15:32:00,24.5,42.7
2023-08-10 03:32:00,26,45.2
2023-08-10 15:32:00,26.6,46.8
2023-08-11 03:32:00,25.5,37.8
2023-08-11 15:32:00,24.7,42.8
2023-08-12 03:32:00,25.4,35.6
2023-08-12 15:32:00,25.5,51.1
2023-08-13 03:32:00,25.2,36.3
2023-08-13 15:32:00,26.7,54.6
2023-08-14 03:32:00,25.1,36.2
2023-08-14 15:32:00,27.9,57.5
2023-08-15 03:32:00,25.3,36.8
2023-08-15 15:32:00,28.7,48.1
2023-08-16 03:32:00,24.8,33.3
2023-08-16 15:32:00,25.3,39.6
2023-08-17 03:32:00,24.5,34.7
2023-08-17 15:32:00,25.4,39.1
2023-08-18 03:32:00,24.8,39
2023-08-18 15:32:00,29.8,38.4
2023-08-19 03:32:00,27.6,37.9
2023-08-19 15:32:00,25.3,40.7
2023-08-20 03:32:00,23.5,34.2
2023-08-20 15:32:00,24.2,36.8
2023-08-21 03:32:00,25.9,34
2023-08-21 15:32:00,27.4,50.9
2023-08-22 03:32:00,25.8,34.3
2023-08-22 15:32:00,27.2,47.3
2023-08-23 03:32:00,27.3,45.9
2023-08-23 15:32:00,26.1,41.7
2023-08-24 03:32:00,24.1,34.4
2023-08-24 15:32:00,26,44.9
2023-08-25 03:32:00,25.4,35
2023-08-25 15:32:00,26.4,41.6
2023-08-26 03:32:00,25.6,31.4
2023-08-26 15:32:00,29.1,50.1
2023-08-27 03:32:00,25.2,35.6
2023-08-27 15:32:00,27.6,41.5
2023-08-28 03:32:00,25.8,37.6
2023-08-28 15:32:00,26.8,45.2
2023-08-29 03:32:00,26.2,36.4
2023-08-29 15:32:00,27.3,51.7
2023-08-30 03:32:00,27.2,41
2023-08-30 15:32:00,25.4,39.8
2023-08-31 03:32:00,27.2,39.4
2023-08-31 15:32:00,25,39.9
2023-09-01 03:32:00,25.8,34.9
2023-09-01 15:32:00,26.3,40.6
2023-09-02 03:32:00,26.4,40.1
2023-09-02 15:32:00,27.7,42.7
2023-09-03 03:32:00,26.2,33.2
2023-09-03 15:32:00,24.4,33.1
2023-09-04 03:32:00,27.9,43.8
2023-09-04 15:32:00,26.1,39.9
2023-09-05 03:32:00,25.8,35.1
2023-09-05 15:32:00,26.5,36.6
2023-09-06 03:32:00,26.2,35.1
2023-09-06 15:32:00,27,44.1
2023-09-07 03:32:00,30,56.1
2023-09-07 15:32:00,30.5,49.7
2023-09-08 03:32:00,30.9,56.5
2023-09-08 15:32:00,30.4,39.3
2023-09-09 03:32:00,30.8,51.6
2023-09-09 15:32:00,30.3,40.3
2023-09-10 03:32:00,31.2,47.3
2023-09-10 15:32:00,30.4,32.5
2023-09-11 03:32:00,31.8,53.7
2023-09-11 15:32:00,30.3,34.1
2023-09-12 03:32:00,31.2,46.2
2023-09-12 15:32:00,30,43.1
2023-09-13 03:32:00,30.5,54.4
2023-09-13 15:32:00,30.3,42.9
2023-09-14 03:32:00,30.8,54.2
2023-09-14 15:32:00,32,49.6
2023-09-15 03:32:00,31.4,52
2023-09-15 15:32:00,32.6,48.2
2023-09-16 03:32:00,31.1,60.4
2023-09-16 15:32:00,26.8,41.5
2023-09-17 03:32:00,28.7,61.5
2023-09-17 15:32:00,26,43.8
2023-09-18 03:32:00,27.3,62.6
2023-09-18 15:32:00,26,41
2023-09-19 03:32:00,27.5,61.7
2023-09-19 15:32:00,27.4,39.8
2023-09-20 03:32:00,28.1,62.3
2023-09-20 15:32:00,28.9,55.4
2023-09-21 03:32:00,27.9,56.3
2023-09-21 15:32:00,29.5,54.9
2023-09-22 03:32:00,28.4,56.7
2023-09-22 15:32:00,29.8,53.7
2023-09-23 03:32:00,29.3,59.2